city,temp_lo,temp_hi,prcp,date,humidity,wind_speed,rain
City_200,42,56,0.45,18-07-2000,36,14.4,no
City_201,26,49,0.75,19-07-2000,75,9.9,yes
City_202,32,52,0.83,20-07-2000,88,12.8,yes
City_203,34,30,0.77,21-07-2000,38,8.3,no
City_204,30,36,0.08,22-07-2000,52,6,no
City_205,48,55,0.22,23-07-2000,62,19,no
City_206,23,50,0.55,24-07-2000,62,2.4,yes
City_207,32,65,0.93,25-07-2000,49,7,no
City_208,26,55,0.83,26-07-2000,33,18,no
City_209,46,57,0.84,27-07-2000,30,14.5,no
City_210,38,31,0.33,28-07-2000,83,0.7,no
City_211,41,41,0.45,29-07-2000,71,0.6,no
City_212,47,38,0.49,30-07-2000,63,10.4,no
City_213,21,64,0.19,31-07-2000,56,9.7,no
City_214,29,37,0.07,01-08-2000,50,8.9,no
City_215,32,55,0.94,02-08-2000,53,6.1,no
City_216,49,62,0.27,03-08-2000,44,19.7,no
City_217,44,29,0.27,04-08-2000,64,5.5,no
City_218,40,60,0.12,05-08-2000,54,9.9,no
City_219,25,53,0.92,06-08-2000,84,8.2,yes
City_220,47,57,0.59,07-08-2000,38,3.5,no
City_221,47,35,0.67,08-08-2000,46,4.1,no
City_222,31,31,0.91,09-08-2000,50,18.4,no
City_223,31,48,0.37,10-08-2000,89,17.2,no
City_224,39,48,0.63,11-08-2000,42,4.1,no
City_225,49,58,0.08,12-08-2000,32,17.5,no
City_226,49,63,0.22,13-08-2000,33,4.3,no
City_227,30,63,0.83,14-08-2000,33,12.6,no
City_228,45,67,0.77,15-08-2000,72,1.7,yes
City_229,42,55,0.37,16-08-2000,57,17.6,no
City_230,47,54,0.4,17-08-2000,36,1.1,no
City_231,44,42,0.55,18-08-2000,55,11.1,no
City_232,26,45,0.04,19-08-2000,40,15.6,no
City_233,49,46,0.27,20-08-2000,53,2.4,no
City_234,20,57,0.24,21-08-2000,72,8.1,no
City_235,20,48,0.28,22-08-2000,39,0.9,no
City_236,44,55,0.81,23-08-2000,66,13.7,yes
City_237,46,46,0.31,24-08-2000,42,6.2,no
City_238,49,32,0.22,25-08-2000,73,11.2,no
City_239,44,29,0.52,26-08-2000,71,18.7,yes
City_240,39,29,0.86,27-08-2000,68,6.2,yes
City_241,32,54,0.27,28-08-2000,48,1.1,no
City_242,28,48,0.11,29-08-2000,80,13.5,no
City_243,22,51,0.38,30-08-2000,48,15.8,no
City_244,26,38,0.75,31-08-2000,41,19.2,no
City_245,25,39,0.56,01-09-2000,81,3.2,yes
City_246,27,33,0.82,02-09-2000,51,7.9,no
City_247,46,29,0.95,03-09-2000,76,16.9,yes
City_248,28,45,0.79,04-09-2000,66,16.2,yes
City_249,49,50,0.61,05-09-2000,85,12.5,yes
City_250,24,62,0.51,06-09-2000,59,5.5,no
City_251,20,57,0.08,07-09-2000,75,5.8,no
City_252,38,32,0.98,08-09-2000,41,2.6,no
City_253,29,33,0.4,09-09-2000,58,18.4,no
City_254,31,39,0.18,10-09-2000,50,3.5,no
City_255,43,49,0.67,11-09-2000,40,11.5,no
City_256,34,63,0.31,12-09-2000,89,11.7,no
City_257,46,40,0.6,13-09-2000,66,7.5,yes
City_258,41,54,0.6,14-09-2000,77,7.1,yes
City_259,43,47,0.46,15-09-2000,87,13.4,no
City_260,28,35,0.83,16-09-2000,47,7.8,no
City_261,39,35,0.29,17-09-2000,73,5.2,no
City_262,36,54,0.47,18-09-2000,88,8,no
City_263,49,33,0.55,19-09-2000,56,16.2,no
City_264,36,49,0.67,20-09-2000,66,19.3,yes
City_265,45,42,0.78,21-09-2000,77,12.8,yes
City_266,39,32,0.42,22-09-2000,41,15.7,no
City_267,31,51,0.65,23-09-2000,52,10.7,no
City_268,49,48,0.18,24-09-2000,63,12.5,no
City_269,26,43,0.93,25-09-2000,67,19.8,yes
City_270,21,57,0.4,26-09-2000,52,8.8,no
City_271,22,36,0.73,27-09-2000,82,1.4,yes
City_272,36,47,0.06,28-09-2000,54,19.1,no
City_273,24,67,0.23,29-09-2000,33,15.9,no
City_274,36,56,0.5,30-09-2000,59,8,no
City_275,43,55,0.87,01-10-2000,59,19.6,no
City_276,36,32,0.54,02-10-2000,42,7,no
City_277,46,43,0.92,03-10-2000,71,7.5,yes
City_278,36,63,0.5,04-10-2000,78,12.2,no
City_279,21,65,0.51,05-10-2000,43,5.6,no
City_280,21,29,0.15,06-10-2000,85,14,no
City_281,47,31,0.8,07-10-2000,76,3.1,yes
City_282,41,52,0.27,08-10-2000,37,2.2,no
City_283,42,55,0.89,09-10-2000,84,10.7,yes
City_284,24,64,0.91,10-10-2000,53,11.2,no
City_285,20,62,0.94,11-10-2000,47,2.2,no
City_286,20,57,0.53,12-10-2000,64,19.3,yes
City_287,38,52,0.68,13-10-2000,54,11.5,no
City_288,49,52,0.78,14-10-2000,46,3.1,no
City_289,21,32,0.16,15-10-2000,61,6.3,no
City_290,40,31,0.61,16-10-2000,85,16,yes
City_291,31,62,0.07,17-10-2000,53,10.5,no
City_292,45,51,0.51,18-10-2000,36,3.8,no
City_293,25,51,0.19,19-10-2000,42,2.1,no
City_294,42,33,0.21,20-10-2000,56,8.7,no
City_295,23,59,0.39,21-10-2000,77,6.8,no
City_296,42,34,0.45,22-10-2000,34,13.2,no
City_297,30,65,0.63,23-10-2000,65,18.5,yes
City_298,43,38,0.11,24-10-2000,55,5,no
City_299,46,35,0.52,25-10-2000,71,17.1,yes
City_300,36,67,0.21,26-10-2000,74,18.4,no
City_301,25,66,0.59,27-10-2000,60,18,no
City_302,43,49,0.65,28-10-2000,39,19,no
City_303,24,48,0.57,29-10-2000,75,16.9,yes
City_304,39,31,0.74,30-10-2000,55,11.9,no
City_305,21,50,0.36,31-10-2000,51,8.3,no
City_306,25,32,0.77,01-11-2000,41,9.9,no
City_307,41,56,0.45,02-11-2000,61,17.5,no
City_308,30,40,0.5,03-11-2000,56,6.1,no
City_309,35,66,0.66,04-11-2000,62,3.3,yes
City_310,35,64,0.06,05-11-2000,82,2.9,no
City_311,20,33,0.66,06-11-2000,81,16.6,yes
City_312,28,41,0.63,07-11-2000,49,15.3,no
City_313,47,51,0.33,08-11-2000,68,10,no
City_314,46,58,0.12,09-11-2000,70,5.6,no
City_315,25,65,0.13,10-11-2000,69,13.6,no
City_316,35,53,0.92,11-11-2000,88,0.9,yes
City_317,48,55,0.69,12-11-2000,42,11.4,no
City_318,22,42,0.16,13-11-2000,43,8,no
City_319,39,64,0.38,14-11-2000,73,19.6,no
City_320,47,67,0.6,15-11-2000,69,10.2,yes
City_321,46,44,0.83,16-11-2000,82,11.1,yes
City_322,23,50,0.08,17-11-2000,51,14.3,no
City_323,38,49,0.26,18-11-2000,47,9.7,no
City_324,45,49,0.89,19-11-2000,77,4.6,yes
City_325,22,36,0.05,20-11-2000,58,10.8,no
City_326,38,44,0.23,21-11-2000,72,18.9,no
City_327,39,59,0.95,22-11-2000,45,8.3,no
City_328,26,38,0.62,23-11-2000,75,13.6,yes
City_329,39,60,0.29,24-11-2000,64,19.6,no
City_330,28,62,0.1,25-11-2000,82,16.6,no
City_331,20,37,0.07,26-11-2000,63,13.2,no
City_332,27,45,0.27,27-11-2000,32,14.7,no
City_333,26,39,0.88,28-11-2000,33,18.7,no
City_334,37,60,0.44,29-11-2000,83,19.2,no
City_335,27,38,0.72,30-11-2000,34,19.4,no
City_336,20,50,0.91,01-12-2000,39,12.6,no
City_337,30,45,0.43,02-12-2000,81,7.8,no
City_338,47,32,0.22,03-12-2000,58,2.7,no
City_339,44,53,0.53,04-12-2000,61,7.8,yes
City_340,44,49,0.9,05-12-2000,60,18.9,no
City_341,37,65,0.8,06-12-2000,31,17.8,no
City_342,42,66,0.1,07-12-2000,41,10.5,no
City_343,49,29,0.7,08-12-2000,56,10.8,no
City_344,29,53,0.58,09-12-2000,34,6.2,no
City_345,22,64,0.9,10-12-2000,66,9.1,yes
City_346,26,45,0.16,11-12-2000,56,14.3,no
City_347,47,52,0.55,12-12-2000,52,8.1,no
City_348,35,30,0.88,13-12-2000,62,3.8,yes
City_349,45,43,0.43,14-12-2000,33,10.9,no
City_350,35,60,0.5,15-12-2000,88,4.6,no
City_351,44,67,0.11,16-12-2000,50,19.5,no
City_352,39,34,0.3,17-12-2000,53,7.9,no
City_353,47,29,0.35,18-12-2000,73,18.2,no
City_354,36,51,0.94,19-12-2000,60,4.6,no
City_355,21,67,0.31,20-12-2000,73,3.9,no
City_356,20,45,0.48,21-12-2000,77,12.4,no
City_357,35,62,0.68,22-12-2000,53,15.6,no
City_358,49,57,0.19,23-12-2000,78,11.4,no
City_359,31,37,0.5,24-12-2000,82,4.7,no
City_360,24,41,0.74,25-12-2000,39,0.9,no
City_361,24,34,0.86,26-12-2000,78,12.4,yes
City_362,46,34,0.63,27-12-2000,78,2.7,yes
City_363,42,48,0.68,28-12-2000,79,6.9,yes
City_364,28,31,0.16,29-12-2000,31,13.5,no
City_365,28,45,0.94,30-12-2000,60,2.1,no
City_366,22,40,0.17,31-12-2000,54,2.6,no
City_367,38,29,0.78,01-01-2001,33,1.3,no
City_368,35,45,0.29,02-01-2001,80,19.9,no
City_369,35,31,0.93,03-01-2001,40,7.8,no
City_370,22,54,0.72,04-01-2001,46,18.1,no
City_371,39,43,0.76,05-01-2001,73,5.9,yes
City_372,43,64,0.25,06-01-2001,31,15.1,no
City_373,41,60,0.46,07-01-2001,35,4.5,no
City_374,43,60,0.63,08-01-2001,38,10,no
City_375,20,32,0.77,09-01-2001,34,16.5,no
City_376,43,46,0.14,10-01-2001,49,16.3,no
City_377,39,47,0.95,11-01-2001,58,15.9,no
City_378,30,63,0.89,12-01-2001,50,16.5,no
City_379,36,42,0.3,13-01-2001,38,4.3,no
City_380,27,61,0.82,14-01-2001,57,9.7,no
City_381,23,42,0.53,15-01-2001,84,9.7,yes
City_382,25,62,0.48,16-01-2001,37,17.8,no
City_383,27,32,0.34,17-01-2001,60,6,no
City_384,39,52,0.59,18-01-2001,49,18.6,no
City_385,49,57,0.73,19-01-2001,56,9.1,no
City_386,22,47,0.43,20-01-2001,37,13.4,no
City_387,35,34,0.64,21-01-2001,83,5.5,yes
City_388,49,61,0.7,22-01-2001,50,8.3,no
City_389,44,47,0.72,23-01-2001,57,14.2,no
City_390,22,29,0.09,24-01-2001,52,10.3,no
City_391,44,33,0.86,25-01-2001,35,18.6,no
City_392,48,55,0.48,26-01-2001,32,14.8,no
City_393,37,44,0.29,27-01-2001,34,11.3,no
City_394,33,34,0.27,28-01-2001,38,17.7,no
City_395,37,41,0.5,29-01-2001,36,13.3,no
City_396,21,63,0.88,30-01-2001,89,13,yes
City_397,41,47,0.4,31-01-2001,33,5,no
City_398,22,40,0.75,01-02-2001,68,8,yes
City_399,35,44,0.13,02-02-2001,34,13.7,no
City_400,48,38,0.49,03-02-2001,40,17.8,no
City_401,28,53,0.98,04-02-2001,44,6.4,no
City_402,23,48,0.77,05-02-2001,63,4.4,yes
City_403,20,59,0.24,06-02-2001,42,11.9,no
City_404,23,32,0.52,07-02-2001,83,1.4,yes
City_405,20,51,0.26,08-02-2001,77,14.3,no
City_406,33,30,0.43,09-02-2001,36,14.1,no
City_407,40,50,0.78,10-02-2001,69,7.2,yes
City_408,35,65,0.77,11-02-2001,35,17.9,no
City_409,39,36,0.26,12-02-2001,85,10.1,no
City_410,43,35,0.92,13-02-2001,68,13,yes
City_411,27,42,0.6,14-02-2001,79,4.3,yes
City_412,26,31,0.4,15-02-2001,59,8.4,no
City_413,22,44,0.52,16-02-2001,51,17.3,no
City_414,36,47,0.61,17-02-2001,54,4.3,no
City_415,20,46,0.57,18-02-2001,57,7.9,no
City_416,35,44,0.5,19-02-2001,83,6.4,no
City_417,31,36,0.52,20-02-2001,49,3.1,no
City_418,46,61,0.21,21-02-2001,68,5.9,no
City_419,38,40,0.81,22-02-2001,32,4.7,no
City_420,41,39,0.55,23-02-2001,34,18.5,no
City_421,42,33,0.16,24-02-2001,30,14.8,no
City_422,41,55,0.77,25-02-2001,44,6.4,no
City_423,33,40,0.93,26-02-2001,55,15.3,no
City_424,49,45,0.94,27-02-2001,32,0.5,no
City_425,25,34,0.39,28-02-2001,69,10.6,no
City_426,25,61,0.17,01-03-2001,86,5.1,no
City_427,32,33,0.53,02-03-2001,70,2.4,yes
City_428,38,56,0.15,03-03-2001,76,17.7,no
City_429,41,42,0.93,04-03-2001,71,4.1,yes
City_430,27,33,0.21,05-03-2001,63,16.5,no
City_431,46,61,0.28,06-03-2001,81,8.3,no
City_432,46,47,0.43,07-03-2001,34,0.4,no
City_433,21,50,0.4,08-03-2001,60,14.7,no
City_434,40,33,0.79,09-03-2001,80,12,yes
City_435,49,30,0.47,10-03-2001,42,6.9,no
City_436,20,58,0.2,11-03-2001,72,5.7,no
City_437,47,67,0.29,12-03-2001,30,1.6,no
City_438,34,32,0.52,13-03-2001,51,18.8,no
City_439,20,61,0.18,14-03-2001,44,9.9,no
City_440,24,41,0.62,15-03-2001,55,1.8,no
City_441,47,48,0.58,16-03-2001,47,17.4,no
City_442,48,35,0.72,17-03-2001,77,5.6,yes
City_443,35,43,0.93,18-03-2001,38,4.2,no
City_444,38,51,0.91,19-03-2001,30,5.7,no
City_445,23,42,0.94,20-03-2001,72,11.3,yes
City_446,22,51,0.27,21-03-2001,38,1.6,no
City_447,36,47,0.16,22-03-2001,52,9.7,no
City_448,36,57,0.33,23-03-2001,72,17.9,no
City_449,31,48,0.89,24-03-2001,74,3.8,yes
City_450,47,57,0.96,25-03-2001,87,6.7,yes
City_451,49,52,0.86,26-03-2001,31,8,no
City_452,48,46,0.14,27-03-2001,43,11.8,no
City_453,33,38,0.94,28-03-2001,67,18.4,yes
City_454,40,36,0.44,29-03-2001,69,8,no
City_455,25,54,0.05,30-03-2001,47,1.5,no
City_456,22,57,0.46,31-03-2001,45,7,no
City_457,47,38,0.08,01-04-2001,82,3.9,no
City_458,28,45,0.56,02-04-2001,58,13.1,no
City_459,24,30,0.36,03-04-2001,73,0.7,no
City_460,43,34,0.49,04-04-2001,40,5.9,no
City_461,48,33,0.62,05-04-2001,35,10.9,no
City_462,36,56,0.87,06-04-2001,32,5.6,no
City_463,33,33,0.67,07-04-2001,43,11.1,no
City_464,40,46,0.45,08-04-2001,89,2.4,no
City_465,22,54,0.82,09-04-2001,31,18.9,no
City_466,47,48,0.9,10-04-2001,61,5.9,yes
City_467,20,55,0.15,11-04-2001,60,18.5,no
City_468,39,40,0.55,12-04-2001,40,6.6,no
City_469,48,35,0.31,13-04-2001,51,15.7,no
City_470,40,31,0.08,14-04-2001,32,5,no
City_471,42,38,0.68,15-04-2001,79,13.4,yes
City_472,20,62,0.86,16-04-2001,60,6.5,no
City_473,22,53,0.19,17-04-2001,62,10.2,no
City_474,37,63,0.81,18-04-2001,53,13.5,no
City_475,44,44,0.85,19-04-2001,30,11.8,no
City_476,29,30,0.91,20-04-2001,73,11.6,yes
City_477,41,52,0.29,21-04-2001,44,1.4,no
City_478,45,38,0.9,22-04-2001,66,5.1,yes
City_479,22,66,0.34,23-04-2001,56,11.5,no
City_480,27,50,0.56,24-04-2001,67,0.5,yes
City_481,33,54,0.09,25-04-2001,77,5.1,no
City_482,43,67,0.08,26-04-2001,56,4.7,no
City_483,37,55,0.72,27-04-2001,73,5.1,yes
City_484,34,57,0.46,28-04-2001,41,10.8,no
City_485,41,66,0.28,29-04-2001,32,11.7,no
City_486,42,48,0.22,30-04-2001,59,18.2,no
City_487,21,55,0.68,01-05-2001,61,7.8,yes
City_488,46,48,0.04,02-05-2001,52,18.5,no
City_489,29,47,0.81,03-05-2001,31,13.1,no
City_490,21,48,0.12,04-05-2001,36,18.3,no
City_491,45,63,0.22,05-05-2001,63,16.7,no
City_492,36,30,0.41,06-05-2001,61,13.8,no
City_493,27,58,0.5,07-05-2001,82,7.2,no
City_494,20,62,0.38,08-05-2001,68,4.9,no
City_495,28,50,0.34,09-05-2001,61,4.5,no
City_496,30,31,0.96,10-05-2001,72,19,yes
City_497,41,34,0.65,11-05-2001,72,19.2,yes
City_498,35,43,0.06,12-05-2001,43,14.5,no
City_499,26,55,0.45,13-05-2001,32,17.7,no
City_500,48,38,0.87,14-05-2001,75,18.4,yes
City_501,29,37,0.33,15-05-2001,61,10.3,no
City_502,42,61,0.13,16-05-2001,72,12.6,no
City_503,45,60,0.76,17-05-2001,65,8.4,yes
City_504,22,34,0.62,18-05-2001,46,8.4,no
City_505,37,64,0.58,19-05-2001,77,0.9,yes
City_506,44,30,0.09,20-05-2001,32,8.7,no
City_507,43,57,0.17,21-05-2001,86,13.5,no
City_508,32,32,0.63,22-05-2001,39,8.5,no
City_509,47,29,0.24,23-05-2001,82,17.5,no
City_510,45,47,0.52,24-05-2001,76,6.7,yes
City_511,26,54,0.56,25-05-2001,69,2.7,yes
City_512,44,53,0.31,26-05-2001,47,16.3,no
City_513,23,38,0.94,27-05-2001,32,13.5,no
City_514,32,43,0.84,28-05-2001,68,4.9,yes
City_515,39,50,0.73,29-05-2001,39,10.8,no
